,交易日期,開盤價,收盤價,最高價,最低價,成交量
0,1998/7/21,8131.0,8045.0,8131.0,8036.0,208.0
1,1998/7/22,7950.0,7870.0,7950.0,7820.0,360.0
2,1998/7/23,7830.0,7825.0,7859.0,7802.0,190.0
3,1998/7/24,7750.0,7835.0,7835.0,7740.0,340.0
4,1998/7/27,7830.0,7786.0,7835.0,7780.0,150.0
5,1998/7/28,7809.0,7742.0,7830.0,7741.0,264.0
6,1998/7/29,7710.0,7680.0,7729.0,7657.0,323.0
7,1998/7/30,7665.0,7638.0,7678.0,7620.0,222.0
8,1998/7/31,7660.0,7600.0,7683.0,7600.0,257.0
9,1998/8/1,7557.0,7609.0,7609.0,7550.0,378.0
10,1998/8/3,7640.0,7552.0,7657.0,7542.0,293.0
11,1998/8/4,7555.0,7560.0,7600.0,7548.0,302.0
12,1998/8/5,7510.0,7487.0,7520.0,7470.0,455.0
13,1998/8/6,7515.0,7462.0,7525.0,7451.0,270.0
14,1998/8/7,7480.0,7515.0,7520.0,7452.0,453.0
15,1998/8/10,7500.0,7365.0,7500.0,7350.0,345.0
16,1998/8/11,7316.0,7360.0,7379.0,7316.0,386.0
17,1998/8/12,7335.0,7330.0,7335.0,7281.0,384.0
18,1998/8/13,7360.0,7291.0,7378.0,7291.0,496.0
19,1998/8/14,7275.0,7320.0,7326.0,7140.0,528.0
20,1998/8/15,7261.0,7300.0,7338.0,7261.0,361.0
21,1998/8/17,7285.0,7219.0,7285.0,7219.0,308.0
22,1998/8/18,7250.0,7220.0,7250.0,7165.0,574.0
23,1998/8/19,7269.0,7285.0,7300.0,7260.0,543.0
24,1998/8/20,7300.0,7274.0,7300.0,7253.0,322.0
25,1998/8/21,7255.0,7225.0,7255.0,7220.0,301.0
26,1998/8/24,7172.0,6955.0,7175.0,6955.0,919.0
27,1998/8/25,6938.0,6949.0,6970.0,6844.0,780.0
28,1998/8/26,6990.0,6790.0,7014.0,6790.0,839.0
29,1998/8/27,6681.0,6835.0,6850.0,6651.0,1137.0
30,1998/8/28,6699.0,6695.0,6820.0,6655.0,1285.0
31,1998/8/29,6700.0,6728.0,6780.0,6700.0,698.0
32,1998/8/31,6750.0,6566.0,6756.0,6566.0,922.0
33,1998/9/1,6352.0,6410.0,6410.0,6216.0,1584.0
34,1998/9/2,6494.0,6430.0,6495.0,6380.0,1417.0
35,1998/9/3,6400.0,6200.0,6400.0,6200.0,1459.0
36,1998/9/4,6120.0,6399.0,6400.0,6120.0,1789.0
