,交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易
3322,2015/7/1,TXO,201507W1,8500.0,買權,0.0,0.0,0.0,0.0,0,0.0,0,730.0,1080.0,735.0,690.0,
3323,2015/7/1,TXO,201507W1,8500.0,賣權,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.2,0.0,0.0,
3324,2015/7/1,TXO,201507W1,8600.0,買權,0.0,0.0,0.0,0.0,0,0.0,0,640.0,975.0,0.0,0.0,
3325,2015/7/1,TXO,201507W1,8600.0,賣權,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.2,0.0,0.0,
3326,2015/7/1,TXO,201507W1,8700.0,買權,0.0,0.0,0.0,0.0,0,0.0,0,540.0,875.0,0.0,0.0,
3327,2015/7/1,TXO,201507W1,8700.0,賣權,0.0,0.0,0.0,0.0,0,0.0,1869,0.0,0.2,1.2,0.1,
3328,2015/7/1,TXO,201507W1,8800.0,買權,498.0,498.0,498.0,498.0,15,0.0,25,425.0,775.0,605.0,473.0,
3329,2015/7/1,TXO,201507W1,8800.0,賣權,0.0,0.0,0.0,0.0,0,0.0,2579,0.0,0.2,1.6,0.1,
3330,2015/7/1,TXO,201507W1,8900.0,買權,496.0,496.0,496.0,496.0,3,0.0,25,483.0,494.0,496.0,318.0,
3331,2015/7/1,TXO,201507W1,8900.0,賣權,0.1,0.1,0.1,0.1,24,0.0,5867,0.0,0.2,3.0,0.1,
3332,2015/7/1,TXO,201507W1,9000.0,買權,299.0,394.0,299.0,388.0,24,0.0,186,388.0,575.0,403.0,206.0,
3333,2015/7/1,TXO,201507W1,9000.0,賣權,0.3,0.3,0.1,0.1,582,0.0,11448,0.0,0.1,7.8,0.1,
3334,2015/7/1,TXO,201507W1,9050.0,買權,272.0,336.0,272.0,336.0,40,0.0,19,337.0,338.0,336.0,161.0,
3335,2015/7/1,TXO,201507W1,9050.0,賣權,0.2,0.2,0.1,0.1,255,0.0,2241,0.0,0.2,9.3,0.1,
3336,2015/7/1,TXO,201507W1,9100.0,買權,197.0,300.0,191.0,288.0,467,0.0,466,286.0,288.0,328.0,115.0,
3337,2015/7/1,TXO,201507W1,9100.0,賣權,0.6,0.6,0.1,0.1,3058,0.0,9495,0.0,0.2,19.5,0.1,
3338,2015/7/1,TXO,201507W1,9150.0,買權,130.0,251.0,129.0,238.0,1187,0.0,1564,238.0,239.0,400.0,72.0,
3339,2015/7/1,TXO,201507W1,9150.0,賣權,0.5,1.2,0.1,0.1,5138,0.0,11510,0.0,0.2,35.0,0.1,
3340,2015/7/1,TXO,201507W1,9200.0,買權,88.0,203.0,80.0,188.0,5102,0.0,3760,187.0,188.0,248.0,38.0,
3341,2015/7/1,TXO,201507W1,9200.0,賣權,1.8,2.1,0.1,0.1,9752,0.0,18060,0.0,0.2,51.0,0.1,
3342,2015/7/1,TXO,201507W1,9250.0,買權,50.0,155.0,35.0,137.0,25426,0.0,5303,137.0,138.0,190.0,16.5,
3343,2015/7/1,TXO,201507W1,9250.0,賣權,4.8,11.0,0.1,0.1,20914,0.0,24835,0.0,0.2,78.0,0.1,
3344,2015/7/1,TXO,201507W1,9300.0,買權,14.5,103.0,9.0,88.0,68712,0.0,10643,87.0,88.0,156.0,5.0,
3345,2015/7/1,TXO,201507W1,9300.0,賣權,25.5,36.0,0.1,0.2,44375,0.0,18071,0.1,0.2,114.0,0.1,
3346,2015/7/1,TXO,201507W1,9350.0,買權,5.1,54.0,2.2,38.0,90348,0.0,13388,37.5,38.0,116.0,1.3,
3347,2015/7/1,TXO,201507W1,9350.0,賣權,65.0,79.0,0.1,0.2,61436,0.0,21252,0.1,0.2,157.0,0.1,
3348,2015/7/1,TXO,201507W1,9400.0,買權,1.0,10.5,0.1,0.2,60616,0.0,30812,0.1,0.2,84.0,0.1,
