,交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易
8553,2016/8/1,TXO,201608W1,8300.0,買權,890.0,890.0,890.0,890.0,1,795.0,11,401.0,1200.0,890.0,595.0,
8554,2016/8/1,TXO,201608W1,8300.0,賣權,0.1,0.3,0.1,0.3,2,0.1,1914,0.1,0.3,1.4,0.1,
8555,2016/8/1,TXO,201608W1,8400.0,買權,0.0,0.0,0.0,0.0,0,695.0,20,301.0,1100.0,635.0,635.0,
8556,2016/8/1,TXO,201608W1,8400.0,賣權,0.5,0.5,0.5,0.5,1,0.1,2903,0.2,0.3,2.4,0.5,
8557,2016/8/1,TXO,201608W1,8500.0,買權,565.0,565.0,565.0,565.0,1,595.0,2,401.0,995.0,565.0,530.0,
8558,2016/8/1,TXO,201608W1,8500.0,賣權,0.4,0.4,0.1,0.1,53,0.1,3298,0.1,0.3,3.0,0.1,
8559,2016/8/1,TXO,201608W1,8600.0,買權,0.0,0.0,0.0,0.0,0,495.0,0,103.0,905.0,0.0,0.0,
8560,2016/8/1,TXO,201608W1,8600.0,賣權,1.0,1.0,0.3,0.3,687,0.3,5164,0.1,0.4,3.7,0.3,
8561,2016/8/1,TXO,201608W1,8700.0,買權,0.0,0.0,0.0,0.0,0,397.0,77,90.0,795.0,381.0,291.0,
8562,2016/8/1,TXO,201608W1,8700.0,賣權,1.8,1.8,0.3,0.3,2237,0.3,19205,0.2,0.5,7.3,0.3,
8563,2016/8/1,TXO,201608W1,8750.0,買權,251.0,251.0,251.0,251.0,20,347.0,20,212.0,755.0,251.0,251.0,
8564,2016/8/1,TXO,201608W1,8750.0,賣權,2.4,2.5,0.6,0.7,2590,0.7,1758,0.6,0.7,2.5,0.6,
8565,2016/8/1,TXO,201608W1,8800.0,買權,202.0,302.0,202.0,302.0,287,302.0,240,299.0,304.0,302.0,158.0,
8566,2016/8/1,TXO,201608W1,8800.0,賣權,6.3,6.3,0.7,1.0,15920,1.0,33924,0.9,1.0,16.0,0.7,
8567,2016/8/1,TXO,201608W1,8850.0,買權,135.0,248.0,135.0,248.0,758,252.0,507,250.0,254.0,248.0,121.0,
8568,2016/8/1,TXO,201608W1,8850.0,賣權,12.0,12.0,1.3,1.4,31983,1.4,19424,1.4,1.5,23.5,1.3,
8569,2016/8/1,TXO,201608W1,8900.0,買權,112.0,204.0,112.0,204.0,3353,204.0,1459,202.0,204.0,209.0,85.0,
8570,2016/8/1,TXO,201608W1,8900.0,賣權,22.0,22.0,2.7,2.8,33312,2.8,16767,2.8,3.0,36.5,2.7,
8571,2016/8/1,TXO,201608W1,8950.0,買權,78.0,158.0,72.0,158.0,7592,158.0,2572,158.0,159.0,167.0,55.0,
8572,2016/8/1,TXO,201608W1,8950.0,賣權,36.5,36.5,6.1,6.3,30410,6.3,15224,6.3,6.4,57.0,6.1,
8573,2016/8/1,TXO,201608W1,9000.0,買權,50.0,114.0,50.0,113.0,15526,113.0,6870,112.0,114.0,132.0,35.0,
8574,2016/8/1,TXO,201608W1,9000.0,賣權,54.0,55.0,13.0,13.0,34879,13.0,13929,13.0,13.5,87.0,13.0,
8575,2016/8/1,TXO,201608W1,9050.0,買權,28.0,77.0,28.0,75.0,27184,75.0,13066,75.0,76.0,99.0,19.5,
8576,2016/8/1,TXO,201608W1,9050.0,賣權,88.0,88.0,25.0,25.5,28590,25.5,15916,25.5,26.0,122.0,25.0,
8577,2016/8/1,TXO,201608W1,9100.0,買權,13.0,47.0,13.0,47.0,32192,47.0,17659,46.5,47.0,72.0,10.0,
8578,2016/8/1,TXO,201608W1,9100.0,賣權,106.0,119.0,45.0,45.0,25496,45.0,14229,45.0,46.0,160.0,45.0,
8579,2016/8/1,TXO,201608W1,9150.0,買權,5.1,26.0,5.1,25.5,24416,25.5,16512,25.5,26.0,51.0,4.4,
8580,2016/8/1,TXO,201608W1,9150.0,賣權,155.0,159.0,75.0,76.0,5659,76.0,2332,75.0,76.0,206.0,75.0,
8581,2016/8/1,TXO,201608W1,9200.0,買權,2.3,12.0,2.3,12.0,21468,12.0,22745,11.5,12.0,33.5,2.3,
8582,2016/8/1,TXO,201608W1,9200.0,賣權,199.0,204.0,111.0,111.0,1624,111.0,1286,111.0,113.0,251.0,111.0,
8583,2016/8/1,TXO,201608W1,9250.0,買權,1.5,4.5,1.0,4.3,22009,4.3,27603,4.3,4.5,21.5,1.0,
8584,2016/8/1,TXO,201608W1,9250.0,賣權,252.0,252.0,156.0,156.0,286,156.0,562,151.0,156.0,300.0,156.0,
8585,2016/8/1,TXO,201608W1,9300.0,買權,1.0,1.4,0.5,1.4,4961,1.4,32515,1.4,1.6,13.0,0.3,
8586,2016/8/1,TXO,201608W1,9300.0,賣權,259.0,259.0,202.0,202.0,264,202.0,425,198.0,204.0,349.0,202.0,
8587,2016/8/1,TXO,201608W1,9400.0,買權,0.6,0.6,0.1,0.3,482,0.3,12631,0.2,0.3,4.5,0.1,
8588,2016/8/1,TXO,201608W1,9400.0,賣權,0.0,0.0,0.0,0.0,0,302.0,31,152.0,810.0,352.0,331.0,
8589,2016/8/1,TXO,201608W1,9500.0,買權,0.1,0.2,0.1,0.2,2,0.2,3351,0.1,0.3,1.6,0.1,
8590,2016/8/1,TXO,201608W1,9500.0,賣權,0.0,0.0,0.0,0.0,0,402.0,0,247.0,905.0,0.0,0.0,
8591,2016/8/1,TXO,201608W1,9600.0,買權,0.0,0.0,0.0,0.0,0,0.1,1511,0.1,0.3,0.7,0.1,
8592,2016/8/1,TXO,201608W1,9600.0,賣權,0.0,0.0,0.0,0.0,0,500.0,0,347.0,1060.0,0.0,0.0,
8593,2016/8/1,TXO,201608W1,9700.0,買權,0.0,0.0,0.0,0.0,0,0.1,0,0.1,0.2,0.0,0.0,
8594,2016/8/1,TXO,201608W1,9700.0,賣權,0.0,0.0,0.0,0.0,0,600.0,0,447.0,1160.0,0.0,0.0,
8595,2016/8/1,TXO,201608W1,9800.0,買權,0.3,0.3,0.1,0.1,41,0.1,20,0.1,0.2,0.3,0.1,
8596,2016/8/1,TXO,201608W1,9800.0,賣權,0.0,0.0,0.0,0.0,0,700.0,0,545.0,1260.0,0.0,0.0,
8597,2016/8/1,TXO,201608,6800.0,買權,0.0,0.0,0.0,0.0,0,2240.0,0,1710.0,2620.0,0.0,0.0,
8598,2016/8/1,TXO,201608,6800.0,賣權,0.6,2.0,0.1,0.3,34,0.3,3884,0.2,0.3,61.0,0.1,
8599,2016/8/1,TXO,201608,6900.0,買權,0.0,0.0,0.0,0.0,0,2140.0,0,1610.0,2520.0,0.0,0.0,
8600,2016/8/1,TXO,201608,6900.0,賣權,0.0,0.0,0.0,0.0,0,0.3,2064,0.2,0.3,73.0,0.3,
8601,2016/8/1,TXO,201608,7000.0,買權,0.0,0.0,0.0,0.0,0,2040.0,0,1510.0,2420.0,0.0,0.0,
8602,2016/8/1,TXO,201608,7000.0,賣權,0.3,0.3,0.3,0.3,5,0.3,2564,0.2,0.7,85.0,0.3,
8603,2016/8/1,TXO,201608,7100.0,買權,0.0,0.0,0.0,0.0,0,1940.0,4,1410.0,2320.0,1550.0,720.0,
8604,2016/8/1,TXO,201608,7100.0,賣權,0.0,0.0,0.0,0.0,0,0.3,3092,0.2,2.0,96.0,0.4,
8605,2016/8/1,TXO,201608,7200.0,買權,0.0,0.0,0.0,0.0,0,1840.0,8,1310.0,2220.0,1850.0,650.0,
8606,2016/8/1,TXO,201608,7200.0,賣權,0.3,0.3,0.3,0.3,19,0.3,3657,0.2,0.4,115.0,0.3,
8607,2016/8/1,TXO,201608,7300.0,買權,0.0,0.0,0.0,0.0,0,1740.0,2,1380.0,2120.0,1620.0,930.0,
8608,2016/8/1,TXO,201608,7300.0,賣權,0.5,0.5,0.5,0.5,15,0.4,3166,0.3,0.4,135.0,0.4,
8609,2016/8/1,TXO,201608,7400.0,買權,0.0,0.0,0.0,0.0,0,1640.0,1,1110.0,2020.0,1500.0,1430.0,
8610,2016/8/1,TXO,201608,7400.0,賣權,0.5,0.6,0.4,0.6,21,0.4,3083,0.3,0.5,156.0,0.4,
8611,2016/8/1,TXO,201608,7500.0,買權,0.0,0.0,0.0,0.0,0,1540.0,21,1010.0,1920.0,1410.0,835.0,
8612,2016/8/1,TXO,201608,7500.0,賣權,0.5,0.5,0.4,0.5,222,0.5,4573,0.3,0.6,183.0,0.4,
8613,2016/8/1,TXO,201608,7600.0,買權,0.0,0.0,0.0,0.0,0,1440.0,34,915.0,1820.0,1310.0,343.0,
8614,2016/8/1,TXO,201608,7600.0,賣權,0.6,0.7,0.5,0.5,222,0.5,3576,0.4,0.7,228.0,0.5,
8615,2016/8/1,TXO,201608,7700.0,買權,0.0,0.0,0.0,0.0,0,1340.0,31,820.0,1720.0,740.0,293.0,
8616,2016/8/1,TXO,201608,7700.0,賣權,0.8,0.8,0.6,0.6,52,0.6,3394,0.5,0.6,260.0,0.6,
8617,2016/8/1,TXO,201608,7800.0,買權,0.0,0.0,0.0,0.0,0,1240.0,137,224.0,1620.0,1160.0,230.0,
8618,2016/8/1,TXO,201608,7800.0,賣權,1.2,1.2,0.8,0.8,269,0.8,5549,0.7,0.8,218.0,0.8,
8619,2016/8/1,TXO,201608,7900.0,買權,0.0,0.0,0.0,0.0,0,1140.0,141,224.0,1520.0,1040.0,175.0,
8620,2016/8/1,TXO,201608,7900.0,賣權,1.7,1.7,1.1,1.2,639,1.2,8135,1.1,1.3,350.0,1.1,
8621,2016/8/1,TXO,201608,8000.0,買權,940.0,1020.0,940.0,1020.0,4,1040.0,233,560.0,1420.0,1020.0,132.0,
8622,2016/8/1,TXO,201608,8000.0,賣權,2.4,2.4,1.3,1.4,1310,1.4,13180,1.2,1.5,406.0,1.3,
8623,2016/8/1,TXO,201608,8100.0,買權,870.0,940.0,870.0,940.0,23,940.0,354,459.0,1320.0,940.0,98.0,
8624,2016/8/1,TXO,201608,8100.0,賣權,3.0,3.3,1.8,2.0,1509,2.0,10683,1.8,1.9,333.0,1.8,
8625,2016/8/1,TXO,201608,8200.0,買權,820.0,820.0,820.0,820.0,1,845.0,384,760.0,1230.0,820.0,71.0,
8626,2016/8/1,TXO,201608,8200.0,賣權,6.4,6.4,2.9,2.9,3307,2.9,15106,2.8,2.9,360.0,2.9,
8627,2016/8/1,TXO,201608,8300.0,買權,645.0,730.0,645.0,730.0,25,745.0,715,705.0,1130.0,730.0,49.0,
8628,2016/8/1,TXO,201608,8300.0,賣權,10.0,10.0,4.3,4.3,6030,4.3,15644,4.3,4.5,414.0,4.3,
8629,2016/8/1,TXO,201608,8400.0,買權,580.0,650.0,580.0,630.0,61,645.0,742,221.0,650.0,650.0,34.0,
8630,2016/8/1,TXO,201608,8400.0,賣權,15.0,15.0,6.9,7.0,5822,7.0,20397,7.0,7.1,431.0,6.9,
8631,2016/8/1,TXO,201608,8500.0,買權,465.0,550.0,465.0,550.0,44,550.0,1308,520.0,560.0,550.0,22.5,
8632,2016/8/1,TXO,201608,8500.0,賣權,21.0,21.0,10.0,10.0,8128,10.0,25212,10.0,10.5,540.0,10.0,
8633,2016/8/1,TXO,201608,8600.0,買權,365.0,458.0,365.0,454.0,432,454.0,3643,452.0,460.0,465.0,16.5,
8634,2016/8/1,TXO,201608,8600.0,賣權,32.0,32.0,15.5,15.5,11720,15.5,23775,15.0,16.0,565.0,15.5,
8635,2016/8/1,TXO,201608,8700.0,買權,283.0,367.0,283.0,367.0,528,367.0,3121,365.0,368.0,370.0,10.0,
8636,2016/8/1,TXO,201608,8700.0,賣權,44.5,46.0,24.5,25.0,11496,25.0,24698,24.5,25.0,650.0,24.5,
8637,2016/8/1,TXO,201608,8800.0,買權,205.0,280.0,205.0,279.0,2312,279.0,4650,279.0,282.0,292.0,7.4,
8638,2016/8/1,TXO,201608,8800.0,賣權,70.0,70.0,39.0,39.5,14965,39.5,18759,39.5,40.0,730.0,39.0,
8639,2016/8/1,TXO,201608,8900.0,買權,148.0,204.0,140.0,203.0,4618,203.0,14604,203.0,204.0,216.0,9.0,
8640,2016/8/1,TXO,201608,8900.0,賣權,105.0,108.0,61.0,61.0,11783,61.0,17233,60.0,62.0,755.0,61.0,
8641,2016/8/1,TXO,201608,9000.0,買權,91.0,140.0,89.0,140.0,11459,140.0,22263,139.0,140.0,153.0,4.0,
8642,2016/8/1,TXO,201608,9000.0,賣權,159.0,159.0,97.0,97.0,9261,97.0,9420,96.0,98.0,815.0,97.0,
8643,2016/8/1,TXO,201608,9100.0,買權,51.0,90.0,51.0,89.0,12968,89.0,26535,89.0,90.0,104.0,4.0,
8644,2016/8/1,TXO,201608,9100.0,賣權,218.0,218.0,147.0,147.0,3056,147.0,3535,146.0,148.0,930.0,147.0,
8645,2016/8/1,TXO,201608,9200.0,買權,27.0,53.0,27.0,53.0,16972,53.0,32563,52.0,53.0,68.0,3.1,
8646,2016/8/1,TXO,201608,9200.0,賣權,300.0,300.0,210.0,212.0,1107,212.0,1161,210.0,213.0,1100.0,210.0,
8647,2016/8/1,TXO,201608,9300.0,買權,17.0,30.0,15.5,29.0,12579,29.0,37407,29.0,29.5,44.0,2.0,
8648,2016/8/1,TXO,201608,9300.0,賣權,372.0,372.0,291.0,291.0,279,291.0,646,282.0,292.0,1150.0,291.0,
8649,2016/8/1,TXO,201608,9400.0,買權,7.7,15.5,7.7,15.5,8791,15.5,22989,15.0,15.5,28.0,1.2,
8650,2016/8/1,TXO,201608,9400.0,賣權,450.0,458.0,379.0,379.0,36,379.0,137,370.0,376.0,975.0,379.0,
8651,2016/8/1,TXO,201608,9500.0,買權,5.0,7.5,4.1,7.4,7751,7.4,18534,7.4,7.5,18.0,0.2,
8652,2016/8/1,TXO,201608,9500.0,賣權,555.0,555.0,486.0,488.0,66,465.0,210,460.0,470.0,880.0,484.0,
8653,2016/8/1,TXO,201608,9600.0,買權,1.4,3.3,1.4,3.3,1525,3.3,12379,3.3,3.4,33.0,0.1,
8654,2016/8/1,TXO,201608,9600.0,賣權,585.0,590.0,585.0,585.0,20,565.0,30,467.0,1050.0,1050.0,585.0,
8655,2016/8/1,TXO,201608,9700.0,買權,0.9,1.4,0.7,1.4,285,1.4,5960,1.1,1.4,7.0,0.6,
