,交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
9628,2017/10/2,TXO,201710W1,9500.0,買權,800,800,800,800,1,965,1,805,-,800,800,,一般
9629,2017/10/2,TXO,201710W1,9500.0,賣權,-,-,-,-,0,0.1,857,-,-,-,-,,一般
9630,2017/10/2,TXO,201710W1,9600.0,買權,-,-,-,-,0,865,10,-,-,-,-,,一般
9631,2017/10/2,TXO,201710W1,9600.0,賣權,-,-,-,-,0,0.1,1373,-,-,-,-,,一般
9632,2017/10/2,TXO,201710W1,9700.0,買權,-,-,-,-,0,765,0,-,-,-,-,,一般
9633,2017/10/2,TXO,201710W1,9700.0,賣權,-,-,-,-,0,0.1,2387,-,-,-,-,,一般
9634,2017/10/2,TXO,201710W1,9800.0,買權,-,-,-,-,0,665,32,-,-,-,-,,一般
9635,2017/10/2,TXO,201710W1,9800.0,賣權,0.2,0.2,0.2,0.2,44,0.2,5172,0.1,0.2,2,0.2,,一般
9636,2017/10/2,TXO,201710W1,9900.0,買權,-,-,-,-,0,565,0,-,-,-,-,,一般
9637,2017/10/2,TXO,201710W1,9900.0,賣權,0.2,0.2,0.2,0.2,842,0.2,10626,0.1,0.2,2.8,0.2,,一般
9638,2017/10/2,TXO,201710W1,9950.0,買權,-,-,-,-,0,515,0,-,-,-,-,,一般
9639,2017/10/2,TXO,201710W1,9950.0,賣權,0.3,0.4,0.2,0.2,367,0.2,4369,0.2,0.3,3.9,0.2,,一般
9640,2017/10/2,TXO,201710W1,10000.0,買權,-,-,-,-,0,465,0,-,-,-,-,,一般
9641,2017/10/2,TXO,201710W1,10000.0,賣權,0.5,0.5,0.3,0.3,830,0.3,6240,0.2,0.3,6.6,0.3,,一般
9642,2017/10/2,TXO,201710W1,10050.0,買權,-,-,-,-,0,415,15,-,-,-,-,,一般
9643,2017/10/2,TXO,201710W1,10050.0,賣權,0.6,0.7,0.4,0.4,1113,0.4,10212,0.3,0.4,9.3,0.4,,一般
9644,2017/10/2,TXO,201710W1,10100.0,買權,316,365,316,362,35,365,93,362,-,365,189,,一般
9645,2017/10/2,TXO,201710W1,10100.0,賣權,0.9,0.9,0.4,0.4,2509,0.4,12776,0.4,0.5,14,0.4,,一般
9646,2017/10/2,TXO,201710W1,10150.0,買權,261,314,257,307,50,315,386,304,-,314,145,,一般
9647,2017/10/2,TXO,201710W1,10150.0,賣權,1.2,1.5,0.5,0.5,4190,0.5,10264,0.5,0.6,21.5,0.5,,一般
9648,2017/10/2,TXO,201710W1,10200.0,買權,206,267,206,263,149,265,834,261,268,267,103,,一般
9649,2017/10/2,TXO,201710W1,10200.0,賣權,1.9,2.2,0.6,0.6,15216,0.6,20035,0.5,0.8,32,0.6,,一般
9650,2017/10/2,TXO,201710W1,10250.0,買權,155,219,145,214,1340,215,3174,210,216,219,68,,一般
9651,2017/10/2,TXO,201710W1,10250.0,賣權,3.6,3.9,0.8,1,23810,1,18914,0.9,1,46,0.8,,一般
9652,2017/10/2,TXO,201710W1,10300.0,買權,110,169,106,163,8170,165,9129,163,165,169,40,,一般
9653,2017/10/2,TXO,201710W1,10300.0,賣權,7.7,7.8,1.4,1.5,30404,1.5,23944,1.5,1.6,66,1.4,,一般
9654,2017/10/2,TXO,201710W1,10350.0,買權,70,121,66,117,24601,117,11304,116,118,121,20,,一般
9655,2017/10/2,TXO,201710W1,10350.0,賣權,17,18.5,3.3,3.7,48371,3.7,21698,3.6,3.8,93,3.3,,一般
9656,2017/10/2,TXO,201710W1,10400.0,買權,35,78,33,73,45985,73,15444,72,73,78,8.6,,一般
9657,2017/10/2,TXO,201710W1,10400.0,賣權,33,35,8.5,9.5,64378,9.5,24263,9.4,9.6,130,8.5,,一般
9658,2017/10/2,TXO,201710W1,10450.0,買權,14.5,41,13,36.5,50529,36.5,21258,36,37.5,41,3.1,,一般
9659,2017/10/2,TXO,201710W1,10450.0,賣權,63,65,21.5,23.5,50102,23.5,18704,23,24,172,21.5,,一般
9660,2017/10/2,TXO,201710W1,10500.0,買權,4.7,16.5,4,13.5,39239,13.5,24124,13,13.5,16.5,1.1,,一般
9661,2017/10/2,TXO,201710W1,10500.0,賣權,99,104,47,50,27140,50,9376,49,51,220,47,,一般
9662,2017/10/2,TXO,201710W1,10550.0,買權,1,4.5,1,3.4,23350,3.4,31327,3.4,3.5,5.3,0.2,,一般
9663,2017/10/2,TXO,201710W1,10550.0,賣權,141,144,87,91,4330,91,2050,88,91,261,87,,一般
9664,2017/10/2,TXO,201710W1,10600.0,買權,0.3,1,0.2,0.7,9026,0.7,17823,0.6,0.8,2.6,0.1,,一般
9665,2017/10/2,TXO,201710W1,10600.0,賣權,185,193,134,138,492,138,186,135,140,299,134,,一般
9666,2017/10/2,TXO,201710W1,10650.0,買權,0.1,0.3,0.1,0.3,1888,0.3,1825,0.2,0.3,0.3,0.1,,一般
9667,2017/10/2,TXO,201710W1,10650.0,賣權,-,-,-,-,0,187,0,-,-,-,-,,一般
9668,2017/10/2,TXO,201710W1,10700.0,買權,0.2,0.3,0.2,0.3,289,0.3,3623,0.1,0.3,0.9,0.1,,一般
9669,2017/10/2,TXO,201710W1,10700.0,賣權,-,-,-,-,0,237,1,-,-,-,-,,一般
9670,2017/10/2,TXO,201710W1,10800.0,買權,0.2,0.2,0.2,0.2,400,0.2,1907,0.1,0.3,0.5,0.1,,一般
9671,2017/10/2,TXO,201710W1,10800.0,賣權,-,-,-,-,0,337,0,-,-,-,-,,一般
9672,2017/10/2,TXO,201710W1,10900.0,買權,0.2,0.2,0.2,0.2,18,0.2,1899,0.1,0.2,0.4,0.2,,一般
9673,2017/10/2,TXO,201710W1,10900.0,賣權,-,-,-,-,0,437,20,-,-,-,-,,一般
9674,2017/10/2,TXO,201710W1,11000.0,買權,0.2,0.2,0.1,0.2,8,0.2,2444,0.1,0.2,0.3,0.1,,一般
9675,2017/10/2,TXO,201710W1,11000.0,賣權,-,-,-,-,0,535,0,-,-,-,-,,一般
