,交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
9992,2017/3/1,TXO,201703W1,9000.0,買權,-,-,-,-,0,0.0,4,-,-,-,-,,一般
9993,2017/3/1,TXO,201703W1,9000.0,賣權,0.1,0.2,0.1,0.2,21,0.0,104,-,0.2,0.4,0.1,,一般
9994,2017/3/1,TXO,201703W1,9100.0,買權,-,-,-,-,0,0.0,0,-,-,-,-,,一般
9995,2017/3/1,TXO,201703W1,9100.0,賣權,0.1,0.1,0.1,0.1,20,0.0,149,-,0.2,0.5,0.1,,一般
9996,2017/3/1,TXO,201703W1,9200.0,買權,-,-,-,-,0,0.0,0,-,-,-,-,,一般
9997,2017/3/1,TXO,201703W1,9200.0,賣權,0.1,0.2,0.1,0.2,30,0.0,1891,-,0.2,0.6,0.1,,一般
9998,2017/3/1,TXO,201703W1,9300.0,買權,404,404,404,404,1,0.0,1,385,394,480,404,,一般
9999,2017/3/1,TXO,201703W1,9300.0,賣權,0.1,0.2,0.1,0.2,30,0.0,2030,-,0.2,0.9,0.1,,一般
10000,2017/3/1,TXO,201703W1,9400.0,買權,298,298,293,293,21,0.0,21,280,290,378,293,,一般
10001,2017/3/1,TXO,201703W1,9400.0,賣權,0.1,0.1,0.1,0.1,190,0.0,3261,-,0.2,1.2,0.1,,一般
10002,2017/3/1,TXO,201703W1,9500.0,買權,240,240,192,193,27,0.0,25,184,190,285,192,,一般
10003,2017/3/1,TXO,201703W1,9500.0,賣權,0.1,0.2,0.1,0.1,303,0.0,19952,-,0.2,2,0.1,,一般
10004,2017/3/1,TXO,201703W1,9550.0,買權,214,214,139,140,194,0.0,15,136,140,245,139,,一般
10005,2017/3/1,TXO,201703W1,9550.0,賣權,0.2,0.4,0.1,0.1,1235,0.0,48319,-,0.2,3,0.1,,一般
10006,2017/3/1,TXO,201703W1,9600.0,買權,144,157,87,90,1685,0.0,307,90,91,223,87,,一般
10007,2017/3/1,TXO,201703W1,9600.0,賣權,0.4,1.5,0.1,0.1,5368,0.0,25129,-,0.1,6.5,0.1,,一般
10008,2017/3/1,TXO,201703W1,9650.0,買權,115,115,38,39.5,34045,0.0,5271,39.5,40,184,38,,一般
10009,2017/3/1,TXO,201703W1,9650.0,賣權,1.3,5,0.1,0.1,30740,0.0,19519,-,0.1,13,0.1,,一般
10010,2017/3/1,TXO,201703W1,9700.0,買權,67,70,0.1,0.2,112989,0.0,30042,0.1,0.2,140,0.1,,一般
10011,2017/3/1,TXO,201703W1,9700.0,賣權,5.8,20,2,9.5,126520,0.0,17750,9.2,9.6,24.5,2,,一般
10012,2017/3/1,TXO,201703W1,9750.0,買權,21,25,0.1,0.1,85257,0.0,27475,-,0.2,101,0.1,,一般
10013,2017/3/1,TXO,201703W1,9750.0,賣權,19,66,11,60,93621,0.0,7478,60,61,66,11,,一般
10014,2017/3/1,TXO,201703W1,9800.0,買權,4.9,6.7,0.1,0.2,41210,0.0,25808,-,0.2,67,0.1,,一般
10015,2017/3/1,TXO,201703W1,9800.0,賣權,48,115,43.5,110,23633,0.0,2899,109,110,115,36,,一般
10016,2017/3/1,TXO,201703W1,9850.0,買權,1.1,1.2,0.1,0.1,13592,0.0,18348,-,0.2,40.5,0.1,,一般
10017,2017/3/1,TXO,201703W1,9850.0,賣權,89,161,89,159,5497,0.0,1781,159,160,161,62,,一般
10018,2017/3/1,TXO,201703W1,9900.0,買權,0.2,0.3,0.1,0.1,3520,0.0,19534,-,0.2,22.5,0.1,,一般
10019,2017/3/1,TXO,201703W1,9900.0,賣權,137,211,137,210,1111,0.0,861,210,211,211,94,,一般
10020,2017/3/1,TXO,201703W1,9950.0,買權,0.1,0.2,0.1,0.2,1519,0.0,19346,-,0.1,11,0.1,,一般
10021,2017/3/1,TXO,201703W1,9950.0,賣權,211,412,200,260,125,0.0,178,256,260,412,133,,一般
10022,2017/3/1,TXO,201703W1,10000.0,買權,0.1,0.2,0.1,0.2,89,0.0,11947,-,0.1,5.1,0.1,,一般
10023,2017/3/1,TXO,201703W1,10000.0,賣權,256,305,248,248,23,0.0,78,310,311,305,180,,一般
10024,2017/3/1,TXO,201703W1,10200.0,買權,0.1,0.1,0.1,0.1,20,0.0,7351,-,0.1,2.8,0.1,,一般
