,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2019/08/01,TXO,201908W1,10000.0,買權,-,-,-,-,0,710,0,-,-,-,-,,一般
2019/08/01,TXO,201908W1,10000.0,賣權,1.4,1.6,0.7,1,1874,1,1412,1,1.1,1.6,0.7,,一般
2019/08/01,TXO,201908W1,10100.0,買權,-,-,-,-,0,610,0,-,-,-,-,,一般
2019/08/01,TXO,201908W1,10100.0,賣權,2,2,0.9,1.4,1420,1.4,1400,1.4,1.5,2.2,0.9,,一般
2019/08/01,TXO,201908W1,10200.0,買權,-,-,-,-,0,510,2,-,-,-,-,,一般
2019/08/01,TXO,201908W1,10200.0,賣權,3,3,1.2,2,4864,2,8261,1.9,2,4.1,1.2,,一般
2019/08/01,TXO,201908W1,10300.0,買權,-,-,-,-,0,413,0,-,-,-,-,,一般
2019/08/01,TXO,201908W1,10300.0,賣權,5.4,5.7,1.7,3.3,7931,3.3,6802,2.9,3.3,7.1,1.7,,一般
2019/08/01,TXO,201908W1,10400.0,買權,300,321,300,321,4,315,5,310,319,440,300,,一般
2019/08/01,TXO,201908W1,10400.0,賣權,9,9.9,2.8,5.7,12830,5.7,9177,5.4,5.8,12,2.8,,一般
2019/08/01,TXO,201908W1,10500.0,買權,222,254,211,220,96,220,50,217,223,310,179,,一般
2019/08/01,TXO,201908W1,10500.0,賣權,19.5,19.5,5.8,11.5,12903,11.5,11155,11,11.5,34.5,5.8,,一般
2019/08/01,TXO,201908W1,10550.0,買權,180,220,168,180,225,180,126,173,178,260,143,,一般
2019/08/01,TXO,201908W1,10550.0,賣權,26,26.5,9,16.5,12511,16.5,8698,16.5,17,46.5,9,,一般
2019/08/01,TXO,201908W1,10600.0,買權,128,178,125,134,1625,134,469,132,134,221,101,,一般
2019/08/01,TXO,201908W1,10600.0,賣權,34,40,13.5,25,18786,25,8306,24.5,25.5,60,13.5,,一般
2019/08/01,TXO,201908W1,10650.0,買權,105,136,88,96,8138,96,2568,95,96,176,74,,一般
2019/08/01,TXO,201908W1,10650.0,賣權,55,55,21.5,37,23546,37,10475,36,37,80,20.5,,一般
2019/08/01,TXO,201908W1,10700.0,買權,70,98,57,61,18697,61,6494,62,63,139,54,,一般
2019/08/01,TXO,201908W1,10700.0,賣權,70,73,33,54,38914,54,13061,54,55,112,30.5,,一般
2019/08/01,TXO,201908W1,10750.0,買權,38.5,65,34.5,38,36381,38,9329,37.5,38.5,101,27,,一般
2019/08/01,TXO,201908W1,10750.0,賣權,97,99,50,80,26924,80,8261,78,80,134,44.5,,一般
2019/08/01,TXO,201908W1,10800.0,買權,21,38,18,20,33747,20,14004,20,20.5,70,18,,一般
2019/08/01,TXO,201908W1,10800.0,賣權,125,130,74,111,11097,111,5088,110,111,173,63,,一般
2019/08/01,TXO,201908W1,10850.0,買權,13,20.5,8.5,10,27936,10,17031,9.9,10,46,8,,一般
2019/08/01,TXO,201908W1,10850.0,賣權,169,171,106,151,2669,151,1379,150,154,211,90,,一般
2019/08/01,TXO,201908W1,10900.0,買權,6,9.5,3.6,4.6,23949,4.6,13518,4.5,4.6,28.5,2.8,,一般
2019/08/01,TXO,201908W1,10900.0,賣權,197,209,146,194,818,194,545,193,198,297,122,,一般
2019/08/01,TXO,201908W1,10950.0,買權,3.5,4,1.6,2.1,14553,2.1,10269,1.9,2.1,16,1.6,,一般
2019/08/01,TXO,201908W1,10950.0,賣權,249,251,190,242,254,242,196,241,247,258,160,,一般
2019/08/01,TXO,201908W1,11000.0,買權,1,1.8,0.7,1.1,7829,1.1,7667,1.1,1.2,8.3,0.7,,一般
2019/08/01,TXO,201908W1,11000.0,賣權,299,301,242,290,42,290,121,287,294,301,203,,一般
2019/08/01,TXO,201908W1,11050.0,買權,0.6,1,0.4,0.6,1443,0.6,3490,0.5,0.7,4.4,0.2,,一般
2019/08/01,TXO,201908W1,11050.0,賣權,341,341,341,341,1,340,11,286,396,341,256,,一般
2019/08/01,TXO,201908W1,11100.0,買權,0.6,0.8,0.3,0.4,776,0.4,3795,0.3,0.5,2.4,0.3,,一般
2019/08/01,TXO,201908W1,11100.0,賣權,392,392,392,392,1,390,7,335,408,392,308,,一般
2019/08/01,TXO,201908W1,11150.0,買權,0.4,0.6,0.3,0.3,159,0.3,1467,0.2,0.4,1.4,0.3,,一般
2019/08/01,TXO,201908W1,11150.0,賣權,-,-,-,-,0,440,0,-,-,-,-,,一般
2019/08/01,TXO,201908W1,11200.0,買權,0.2,0.3,0.2,0.2,1140,0.2,2005,0.1,0.3,0.9,0.2,,一般
2019/08/01,TXO,201908W1,11200.0,賣權,-,-,-,-,0,490,0,-,-,-,-,,一般
2019/08/01,TXO,201908W1,11300.0,買權,0.4,0.4,0.1,0.1,271,0.1,253,-,0.2,0.5,0.1,,一般
2019/08/01,TXO,201908W1,11300.0,賣權,-,-,-,-,0,590,0,-,-,-,-,,一般
2019/08/01,TXO,201908W1,11400.0,買權,0.1,0.1,0.1,0.1,20,0.1,60,-,0.2,0.2,0.1,,一般
2019/08/01,TXO,201908W1,11400.0,賣權,-,-,-,-,0,690,0,-,-,-,-,,一般
2019/08/01,TXO,201908W1,11500.0,買權,0.1,0.1,0.1,0.1,20,0.1,20,-,0.2,0.1,0.1,,一般
2019/08/01,TXO,201908W1,11500.0,賣權,-,-,-,-,0,790,0,-,-,-,-,,一般
2019/08/01,TXO,201908W1,11600.0,買權,0.2,0.2,0.1,0.1,22,0.1,21,-,0.2,0.2,0.1,,一般
2019/08/01,TXO,201908W1,11600.0,賣權,-,-,-,-,0,890,0,-,-,-,-,,一般
2019/08/01,TXO,201908  ,8700.0,買權,-,-,-,-,0,1940,1,-,-,-,-,,一般
2019/08/01,TXO,201908  ,8700.0,賣權,1.5,1.7,1.2,1.2,36,1.2,630,0.9,1.9,40,0.8,,一般
2019/08/01,TXO,201908  ,8800.0,買權,-,-,-,-,0,1840,1,-,-,-,-,,一般
